epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,2135.83,0.91063,0.56671,0.98185,0.78033,0.67509,0.75945,0.56914,1.15166,0.97753,1.19864,0.000612687,0.000612687,0.000612687
105,2149.96,0.90516,0.55848,0.98355,0.70056,0.71239,0.77555,0.55274,1.13067,0.92109,1.19253,0.0006065,0.0006065,0.0006065
106,2167.1,0.91822,0.56683,0.98262,0.65031,0.75078,0.76673,0.58994,1.13623,0.89091,1.18442,0.000600313,0.000600313,0.000600313
107,2183.96,0.91869,0.56191,0.97778,0.72982,0.69936,0.77049,0.61843,1.13114,0.87277,1.18677,0.000594125,0.000594125,0.000594125
108,2198.37,0.87888,0.54894,0.96682,0.66424,0.70565,0.78041,0.5844,1.13533,0.82539,1.19392,0.000587938,0.000587938,0.000587938
109,2215.54,0.89115,0.54614,0.97732,0.64245,0.72522,0.75932,0.58144,1.12952,0.87476,1.18882,0.00058175,0.00058175,0.00058175
110,2242.41,0.89071,0.55114,0.97184,0.69903,0.70106,0.75835,0.58113,1.14602,0.88166,1.21209,0.000575563,0.000575563,0.000575563
111,2269.06,0.8851,0.54242,0.97407,0.79771,0.6242,0.7509,0.5681,1.12387,0.92369,1.18995,0.000569375,0.000569375,0.000569375
112,2307.04,0.89156,0.54474,0.96582,0.62663,0.74522,0.72578,0.53928,1.13174,0.90647,1.19484,0.000563187,0.000563187,0.000563187
113,2323.63,0.87894,0.53873,0.9737,0.69419,0.69986,0.74897,0.55939,1.16317,0.91888,1.19823,0.000557,0.000557,0.000557
114,2340.48,0.88179,0.53026,0.96283,0.77869,0.70752,0.78726,0.55738,1.13606,0.86947,1.18357,0.000550813,0.000550813,0.000550813
115,2357.59,0.86306,0.53511,0.96472,0.7248,0.7051,0.76145,0.56135,1.16643,0.87535,1.21957,0.000544625,0.000544625,0.000544625
116,2373.22,0.85767,0.52982,0.97166,0.72145,0.73968,0.77506,0.55381,1.13985,0.85126,1.21514,0.000538438,0.000538438,0.000538438
117,2390.79,0.87229,0.52535,0.96635,0.75693,0.71828,0.77842,0.56426,1.12728,0.86744,1.20908,0.00053225,0.00053225,0.00053225
118,2407.93,0.87895,0.53919,0.96519,0.60564,0.76218,0.76707,0.54127,1.12782,0.89556,1.18869,0.000526063,0.000526063,0.000526063
119,2425.19,0.86518,0.52145,0.9622,0.70353,0.72607,0.78288,0.54176,1.14691,0.89349,1.201,0.000519875,0.000519875,0.000519875
